Task lang,rank1 lang,rank2 lang,rank3 lang
ara,ell,hrv,kat
aze,heb,ell,rus
bel,heb,ell,rus
ben,ara,aze,bel
bos,heb,ell,rus
bul,aze,bel,bos
ces,ara,aze,bel
cmn,ell,ces,lit
dan,heb,ell,rus
deu,spa,aze,bel
ell,ara,aze,bel
epo,heb,ell,rus
est,heb,ell,rus
eus,ara,aze,bel
fas,heb,ell,hrv
fin,ara,aze,bel
fra,aze,bel,bos
glg,ara,aze,bel
heb,aze,bel,bos
hin,ell,rus,pol
hrv,ara,aze,bel
hun,ara,aze,bel
hye,ara,aze,bel
ind,ara,aze,bel
ita,aze,bel,bos
jpn,aze,bel,bos
kat,ara,aze,bel
kaz,heb,ell,rus
kor,aze,bel,bos
kur,heb,ell,rus
lit,ara,aze,bel
mar,heb,ara,aze
mkd,ara,aze,bel
mon,heb,ell,rus
msa,heb,ell,rus
mya,ara,aze,bel
nld,kat,aze,bel
nob,rus,spa,ita
pol,aze,bel,bos
por,aze,bel,bos
ron,aze,bel,bos
rus,aze,bel,bos
slk,heb,ell,rus
slv,ara,aze,bel
spa,aze,bel,bos
sqi,heb,ell,rus
srp,heb,ell,rus
swe,kat,spa,eus
tam,kat,heb,ara
tha,ara,aze,bel
tur,aze,bel,bos
ukr,ara,aze,bel
urd,ara,aze,bel
vie,aze,bel,bos
